ObservationDate,sum(Confirmed),sum(Deaths),sum(Recovered),Country
2020-03,7,0,0,Chad
2020-04,73,5,33,Chad
2020-05,778,65,491,Chad
2020-06,866,74,781,Chad
2020-07,936,75,813,Chad
2020-08,1013,77,880,Chad
2020-09,1200,85,1007,Chad
2020-10,1483,98,1314,Chad
2020-11,1688,101,1525,Chad
2020-12,2113,104,1704,Chad
2021-01,3376,118,2464,Chad
2021-02,3973,140,3475,Chad
2021-03,4533,164,4140,Chad
2021-04,4817,170,4423,Chad
2021-05,4928,173,4742,Chad
2020-01,2,0,0,Russia
2020-02,2,0,2,Russia
2020-03,2337,17,121,Russia
2020-04,106498,1073,11619,Russia
2020-05,405843,4693,171883,Russia
2020-06,646929,9306,411973,Russia
2020-07,838461,13939,637217,Russia
2020-08,992402,17128,807339,Russia
2020-09,1170799,20630,954788,Russia
2020-10,1606267,27792,1208440,Russia
2020-11,2275936,39491,1763493,Russia
2020-12,3127347,56271,2527722,Russia
2021-01,3808348,72029,3264611,Russia
2021-02,4198400,84700,3769025,Russia
2021-03,4494234,97219,4118709,Russia
2021-04,4750755,108290,4377504,Russia
2021-05,4995613,118787,4616422,Russia
2020-03,65,3,1,Paraguay
2020-04,266,10,113,Paraguay
2020-05,986,11,477,Paraguay
2020-06,2221,17,1089,Paraguay
2020-07,5338,49,3548,Paraguay
2020-08,17662,326,9421,Paraguay
2020-09,40758,857,24449,Paraguay
2020-10,63185,1404,42900,Paraguay
2020-11,82424,1756,58453,Paraguay
2020-12,107932,2262,81977,Paraguay
2021-01,133227,2718,108426,Paraguay
2021-02,159474,3181,133435,Paraguay
2021-03,214667,4206,175614,Paraguay
2021-04,279077,6385,229519,Paraguay
2021-05,350613,8987,288232,Paraguay
2020-02,1,0,0,North Ireland
2020-04,6,2,1,Yemen
2020-05,323,80,14,Yemen
2020-06,1158,312,488,Yemen
2020-07,1728,493,862,Yemen
2020-08,1958,566,1131,Yemen
2020-09,2034,587,1286,Yemen
2020-10,2063,599,1366,Yemen
2020-11,2077,605,1382,Yemen
2020-12,2099,610,1394,Yemen
2021-01,2121,615,1426,Yemen
2021-02,2285,634,1435,Yemen
2021-03,4357,888,1676,Yemen
2021-04,6317,1226,2751,Yemen
2021-05,6731,1319,3399,Yemen
2020-03,175,0,40,Senegal
2020-04,933,9,334,Senegal
2020-05,3645,42,1801,Senegal
2020-06,6793,112,4431,Senegal
2020-07,10232,205,6776,Senegal
2020-08,13611,284,9439,Senegal
2020-09,14982,311,12437,Senegal
2020-10,15616,324,14853,Senegal
2020-11,16089,333,15607,Senegal
2020-12,19140,410,17254,Senegal
2021-01,26523,628,21970,Senegal
2021-02,34520,872,28894,Senegal
2021-03,38705,1051,37321,Senegal
2021-04,40344,1107,39083,Senegal
2021-05,41331,1138,39972,Senegal
2020-01,1,0,0,Sweden
2020-02,12,0,0,Sweden
2020-03,4435,180,16,Sweden
2020-04,21092,2586,1005,Sweden
2020-05,37542,4395,4971,Sweden
2020-06,110334,9895,4971,Sweden
2020-07,80423,5744,0,Sweden
2020-08,87486,5827,0,Sweden
2020-09,92863,5895,0,Sweden
2020-10,124355,5978,0,Sweden
2020-11,243129,6681,0,Sweden
2020-12,437379,8727,0,Sweden
2021-01,566957,11591,0,Sweden
2021-02,657309,12826,0,Sweden
2021-03,804886,13467,0,Sweden
2021-04,973604,14048,0,Sweden
2021-05,1068473,14451,0,Sweden
2020-01,0,0,0,Kiribati
2020-02,0,0,0,Kiribati
2020-03,0,0,0,Kiribati
2020-04,0,0,0,Kiribati
2020-05,0,0,0,Kiribati
2020-06,0,0,0,Kiribati
2020-07,0,0,0,Kiribati
2020-08,0,0,0,Kiribati
2020-09,0,0,0,Kiribati
2020-10,0,0,0,Kiribati
2020-11,0,0,0,Kiribati
2020-12,0,0,0,Kiribati
2021-01,0,0,0,Kiribati
2021-02,0,0,0,Kiribati
2021-03,0,0,0,Kiribati
2021-04,0,0,0,Kiribati
2021-05,2,0,0,Kiribati
2020-03,20,2,0,Guyana
2020-04,82,9,22,Guyana
2020-05,153,12,70,Guyana
2020-06,245,12,114,Guyana
2020-07,413,20,185,Guyana
2020-08,1306,39,718,Guyana
2020-09,2894,80,1680,Guyana
2020-10,4162,124,3228,Guyana
2020-11,5406,151,4392,Guyana
2020-12,6332,164,5820,Guyana
2021-01,7641,176,6591,Guyana
2021-02,8585,195,7972,Guyana
2021-03,10249,231,9098,Guyana
2021-04,13283,296,11208,Guyana
2021-05,16822,382,14468,Guyana
2020-01,1,0,0,Philippines
2020-02,3,1,1,Philippines
2020-03,2084,88,49,Philippines
2020-04,8488,568,1043,Philippines
2020-05,18086,957,3909,Philippines
2020-06,37514,1266,10233,Philippines
2020-07,93354,2023,65178,Philippines
2020-08,220819,3558,157562,Philippines
2020-09,311694,5504,253488,Philippines
2020-10,380729,7221,331046,Philippines
2020-11,431630,8392,398658,Philippines
2020-12,474064,9244,439796,Philippines
2021-01,525618,10749,487551,Philippines
2021-02,576352,12318,534271,Philippines
2021-03,747288,13297,603746,Philippines
2021-04,1037460,17234,946318,Philippines
2021-05,1216582,20722,1142246,Philippines
2020-03,2,0,0,Jersey
2020-03,15,0,0,Eritrea
2020-04,39,0,26,Eritrea
2020-05,39,0,39,Eritrea
2020-06,203,0,53,Eritrea
2020-07,279,0,225,Eritrea
2020-08,319,0,284,Eritrea
2020-09,375,0,341,Eritrea
2020-10,463,0,412,Eritrea
2020-11,577,0,498,Eritrea
2020-12,1320,3,643,Eritrea
2021-01,2135,7,1594,Eritrea
2021-02,2847,7,2253,Eritrea
2021-03,3285,10,3029,Eritrea
2021-04,3671,10,3492,Eritrea
2021-05,4061,14,3812,Eritrea
2020-03,15,1,0,Burma
2020-04,151,6,27,Burma
2020-05,224,6,138,Burma
2020-06,299,6,222,Burma
2020-07,353,6,296,Burma
2020-08,882,6,354,Burma
2020-09,13373,310,3755,Burma
2020-10,52706,1237,32774,Burma
2020-11,90713,1941,70156,Burma
2020-12,124630,2682,107069,Burma
2021-01,140145,3131,125072,Burma
2021-02,141896,3199,131480,Burma
2021-03,142434,3206,131800,Burma
2021-04,142817,3209,131966,Burma
2021-05,143526,3216,132297,Burma
2020-03,30,0,0,Djibouti
2020-04,1089,2,642,Djibouti
2020-05,3354,24,1504,Djibouti
2020-06,4682,54,4524,Djibouti
2020-07,5084,58,4999,Djibouti
2020-08,5387,60,5323,Djibouti
2020-09,5416,61,5344,Djibouti
2020-10,5561,61,5441,Djibouti
2020-11,5679,61,5584,Djibouti
2020-12,5831,61,5728,Djibouti
2021-01,5932,63,5845,Djibouti
2021-02,6066,63,5897,Djibouti
2021-03,8002,70,6460,Djibouti
2021-04,11100,143,10708,Djibouti
2021-05,11523,153,11354,Djibouti
2020-01,13,0,0,Singapore
2020-02,102,0,72,Singapore
2020-03,926,3,240,Singapore
2020-04,16169,15,1244,Singapore
2020-05,34884,23,21699,Singapore
2020-06,43907,26,38500,Singapore
2020-07,52205,27,46491,Singapore
2020-08,56812,27,55658,Singapore
2020-09,57765,27,57488,Singapore
2020-10,58015,28,57913,Singapore
2020-11,58218,29,58134,Singapore
2020-12,58599,29,58449,Singapore
2021-01,59536,29,59228,Singapore
2021-02,59936,29,59823,Singapore
2021-03,60381,30,60149,Singapore
2021-04,61145,30,60751,Singapore
2021-05,62003,32,61423,Singapore
2020-01,8,0,0,Malaysia
2020-02,25,0,18,Malaysia
2020-03,2766,43,537,Malaysia
2020-04,6002,102,4171,Malaysia
2020-05,7819,115,6353,Malaysia
2020-06,8639,121,8354,Malaysia
2020-07,8976,125,8644,Malaysia
2020-08,9340,127,9054,Malaysia
2020-09,11224,136,9967,Malaysia
2020-10,31548,249,21248,Malaysia
2020-11,65697,360,54759,Malaysia
2020-12,113010,471,88941,Malaysia
2021-01,214959,760,166049,Malaysia
2021-02,300752,1130,273417,Malaysia
2021-03,345500,1272,329624,Malaysia
2021-04,408713,1506,377980,Malaysia
2021-05,558534,2650,479666,Malaysia
2020-03,5,0,0,Fiji
2020-04,18,0,12,Fiji
2020-05,18,0,15,Fiji
2020-06,18,0,18,Fiji
2020-07,27,1,18,Fiji
2020-08,28,2,23,Fiji
2020-09,32,2,28,Fiji
2020-10,34,2,31,Fiji
2020-11,42,2,33,Fiji
2020-12,49,2,44,Fiji
2021-01,55,2,53,Fiji
2021-02,59,2,54,Fiji
2021-03,67,2,64,Fiji
2021-04,117,2,65,Fiji
2021-05,360,4,161,Fiji
2020-03,13531,214,243,Turkey
2020-04,120204,3174,48886,Turkey
2020-05,163942,4540,127973,Turkey
2020-06,199906,5131,173111,Turkey
2020-07,230873,5691,214535,Turkey
2020-08,270133,6370,244926,Turkey
2020-09,318663,8195,279749,Turkey
2020-10,375367,10252,323971,Turkey
2020-11,638847,13746,404727,Turkey
2020-12,2208652,20881,2100650,Turkey
2021-01,2477463,25993,2362415,Turkey
2021-02,2701588,28569,2572234,Turkey
2021-03,3317182,31537,3014226,Turkey
2021-04,4820591,40131,4323897,Turkey
2021-05,5235978,47271,5094279,Turkey
2020-04,37,3,7,Malawi
2020-05,284,4,42,Malawi
2020-06,1224,14,260,Malawi
2020-07,4078,114,1875,Malawi
2020-08,5566,175,3160,Malawi
2020-09,5773,179,4263,Malawi
2020-10,5930,184,5323,Malawi
2020-11,6028,185,5455,Malawi
2020-12,6583,189,5705,Malawi
2021-01,23963,702,8615,Malawi
2021-02,31945,1044,18874,Malawi
2021-03,33551,1117,30272,Malawi
2021-04,34078,1148,32051,Malawi
2021-05,34329,1154,32603,Malawi
2020-02,13,0,0,Iraq
2020-03,694,50,170,Iraq
2020-04,2085,93,1375,Iraq
2020-05,6439,205,3156,Iraq
2020-06,49109,1943,24760,Iraq
2020-07,124609,4741,87434,Iraq
2020-08,234934,7042,176602,Iraq
2020-09,362981,9181,292197,Iraq
2020-10,472630,10910,399655,Iraq
2020-11,552549,12258,482674,Iraq
2020-12,595291,12813,537841,Iraq
2021-01,619636,13047,592129,Iraq
2021-02,695489,13406,635931,Iraq
2021-03,850924,14323,759560,Iraq
2021-04,1065199,15465,942046,Iraq
